담당,범위,id,chair,sentence,조,A_라벨,B_라벨,현재_final,final_출처,확정,사유
배재원,1-75,2025-07-30_presconf#336,Powell,"It shows wages, you know, still at a healthy level, but moving ever closer to what we would regard as long-run sustainable, consistent with longer-run productivity and 2 percent inflation.",배재원/최인영,1(긍정),2(부정),1(긍정),A일치,,
배재원,1-75,2011-06-22_presconf#135,Bernanke,"And so, in that respect, I think the effects on the United States would be quite significant.",배재원/최인영,0(중립),1(긍정),0(중립),A일치,,
배재원,1-75,2016-06-15_presconf#20,Yellen,"Job gains in April and May are estimated to have averaged only about 80,000 per month.",배재원/최인영,2(부정),0(중립),2(부정),A일치,,
배재원,1-75,2020-07-29_presconf#207,Powell,"So- You know, I think we feel that it-it might be , the most central fact or the most central driver of the path of the economy right now is the virus.",배재원/최인영,0(중립),2(부정),0(중립),A일치,,
배재원,1-75,2019-10-30_presconf#36,Powell,Policy is not on a preset course.,배재원/최인영,0(중립),2(부정),0(중립),A일치,,
배재원,1-75,2015-06-17_presconf#107,Yellen,"But at this time, the assessment that participants have of the economy suggest to them that the appropriate pace of normalization to keep the economy on track to meet our objectives will be gradual, in that sense.",배재원/최인영,1(긍정),0(중립),0(중립),B일치,,
배재원,1-75,2016-03-16_presconf#3,Yellen,"The Committee’s baseline expectations for economic activity, the labor market, and inflation have not changed much since December: With appropriate monetary policy, we continue to expect moderate economic growth, further labor market improvement, and a return of inflation to our 2 percent objective in two to three years.",배재원/최인영,1(긍정),2(부정),1(긍정),A일치,,
배재원,1-75,2021-04-28_presconf#353,Powell,"We didn’t do any of that, and we don’t have a seat at that table.",배재원/최인영,0(중립),2(부정),0(중립),A일치,,
배재원,1-75,2022-01-26_presconf#135,Powell,"We, you know, we said at our last meeting we published the Summary of Economic Projections, the median of which-the median participant expected three rate increases this year.",배재원/최인영,1(긍정),0(중립),0(중립),B일치,,
배재원,1-75,2025-01-29_presconf#128,Powell,"And, you know, we’re, we’re just going to need to see that.",배재원/최인영,0(중립),1(긍정),0(중립),A일치,,
배재원,1-75,2026-06-17_presconf#166,Warsh,We need to be quite interested in what’s happening in the world.,배재원/최인영,0(중립),1(긍정),0(중립),A일치,,
배재원,1-75,2021-06-16_presconf#338,Powell,"But it wouldn’t surprise me if there’s an element for some people in, you know, seeing the inflation performance that we’ve had and thinking that I have more confidence that we could see inflation above 2 percent, that it may not be as hard to do that as we thought, and that inflation expectations may move up to a-to a level-they were -they were really at a level that was kind of a little below 2 percent.",배재원/최인영,1(긍정),2(부정),0(중립),제3값,,
배재원,1-75,2016-06-15_presconf#148,Yellen,"So, those things have stabilized, their influence is dissipating.",배재원/최인영,1(긍정),2(부정),1(긍정),A일치,,
최인영,1-75,2024-07-31_presconf#261,Powell,I do know how we will make that assessment.,배재원/최인영,0(중립),1(긍정),0(중립),A일치,,
최인영,1-75,2022-01-26_presconf#107,Powell,So we’re just in that process now.,배재원/최인영,0(중립),1(긍정),0(중립),A일치,,
최인영,1-75,2026-03-18_presconf#233,Powell,I don’t know how it’s going to affect our thinking.,배재원/최인영,0(중립),2(부정),0(중립),A일치,,
최인영,1-75,2023-06-14_presconf#87,Powell,We-the C ommittee has consistently said and believed that the process of getting inflation down is going to be a gradual one.,배재원/최인영,1(긍정),0(중립),0(중립),B일치,,
